PERFIL;¿En qué universidad estudias actualmente?;¿En qué país estás cursando tus estudios?;¿A qué área principal pertenece tu carrera?;Por favor, escribe el nombre de tu carrera o programa de estudios.;¿Qué semestre estás cursando actualmente?;¿Cuál es tu edad?;¿Con qué género te identificas?;COMPETENCIAS_IA;Análisis e interpretación de datos.;Fundamentos de ciberseguridad.;Conceptos básicos de programación y automatización.;Manejo de herramientas de IA (ej. ChatGPT, Copilot, Gemini, DALL-E);Pensamiento crítico y resolución de problemas complejos;Comunicación efectiva en entornos digitales;Adaptabilidad y aprendizaje continuo;Creatividad e innovación;Colaboración en equipos multidisciplinarios;PERTINENCIA_LABORAL;El currículo de mi carrera está alineado con las habilidades demandadas por el mercado laboral digital.;Mi universidad promueve activamente el desarrollo de competencias digitales y blandas.;Siento que la formación que he recibido me prepara para trabajos que aún no existen.;El uso de la tecnología y la IA está bien integrado en las asignaturas de mi carrera.;La metodología de enseñanza en mi carrera fomenta la adaptabilidad y el aprendizaje continuo.;CONFIANZA_LABORAL;Me siento seguro(a) de que mi formación académica me prepara para conseguir un empleo relevante en mi área.;Mi perfil de egreso es competitivo en el mercado laboral actual.;Considero que mis habilidades blandas (ej. comunicación, creatividad) me dan una ventaja en el mercado laboral.;Creo que mi conocimiento sobre herramientas de IA mejorará mis oportunidades laborales.;Habilidades técnicas y digitales (ej. programación, análisis de datos);Habilidades blandas (ej. pensamiento crítico, adaptabilidad);Experiencia práctica o pasantías;Red de contactos (networking);Título académico de la universidad;EVALUACION_DOCENTE;El profesorado de mi carrera está capacitado para integrar herramientas de IA en la enseñanza.;Mi universidad fomenta la innovación en las metodologías de enseñanza para adaptarse a la era digital.;Mi universidad tiene los recursos adecuados (plataformas, software) para formar profesionales en la era digital.;En general, recomendaría mi universidad como una institución que prepara para los desafíos del mercado laboral digital.;El rol principal del profesorado será el de facilitador y guía del aprendizaje.;El profesorado deberá enfocarse más en enseñar habilidades humanas (pensamiento crítico, ética, creatividad) que en transmitir información.;El rol del profesorado se reducirá significativamente, siendo reemplazado en gran medida por la IA.;_id;_uuid;_submission_time;_validation_status;_notes;_status;_submitted_by;__version__;_tags;_index
;Institución universitaria de envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;21;Femenino;;Avanzado;Intermedio;Básico;Experto;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;Totalmente en desacuerdo;En desacuerdo;Neutral;;Importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Neutral;Neutral;Neutral;Neutral;Neutral;De acuerdo;Neutral;588355768;7e84d5a5-778d-43e8-acd8-3d073625998b;2025-10-22T14:23:41;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;122
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;DERECHO;8vo Semestre;21;Femenino;;Avanzado;Intermedio;Básico;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;Neutral;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;;Importante;Importante;Importante;Neutral;Importante;Importante;Neutral;Neutral;Importante;;En desacuerdo;En desacuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;De acuerdo;588356431;3cf648be-5fe0-4be4-94fd-287fd4f48bfe;2025-10-22T14:24:15;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;123
;Unicach villa corzo;México;Ciencias Económicas y Administrativas;Gestión y desarrollo de negocios;8vo Semestre;21;Masculino;;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Experto;Avanzado;Avanzado;;Totalmente de acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Importante;Importante;Muy importante;;Neutral;De acuerdo;Neutral;De acuerdo;De acuerdo;Totalmente de acuerdo;En desacuerdo;588370836;da31ca00-9195-452c-aa6a-31a417c7fd62;2025-10-22T14:38:45;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;124
;IUE;Colombia;Otro;Derecho;9no Semestre;44;Masculino;;Básico;Básico;Ninguno;Básico;Ninguno;Básico;Básico;Básico;Ninguno;;Totalmente de acuerdo;De acuerdo;En desacuerdo;Neutral;De acuerdo;;Importante;Importante;Muy importante;Muy importante;Importante;Importante;Neutral;Importante;Neutral;;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Neutral;588372597;7ea9bcdd-3801-4382-a5a9-94c2eae91658;2025-10-22T14:40:44;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;125
;Institución  Universitaria  de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;9no Semestre;39;Masculino;;Intermedio;Básico;Ninguno;Básico;Intermedio;Básico;Intermedio;Básico;Básico;;Neutral;De acuerdo;Neutral;Neutral;Neutral;;Neutral;Importante;Neutral;Neutral;Neutral;Importante;Importante;Neutral;Importante;;Neutral;De acuerdo;Neutral;Neutral;Neutral;De acuerdo;Neutral;588373034;c9de3573-dcbd-4062-a8dc-eeab84d61b44;2025-10-22T14:41:14;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;126
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;10mo Semestre o superior;22;Masculino;;Intermedio;Ninguno;Básico;Intermedio;Avanzado;Intermedio;Avanzado;Intermedio;Avanzado;;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;;Neutral;Neutral;Importante;Importante;Importante;Importante;Importante;Muy importante;Neutral;;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;588373043;218aa3da-12cb-4fba-9d3b-aa81a247b41b;2025-10-22T14:41:15;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;127
;IUE;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;22;Masculino;;Intermedio;Básico;Ninguno;Intermedio;Avanzado;Avanzado;Avanzado;Intermedio;Intermedio;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Neutral;Neutral;Neutral;Neutral;Importante;Importante;Importante;Importante;Importante;;De acuerdo;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588373065;31a92442-fc56-46c0-9d69-8bf0e6bda292;2025-10-22T14:41:16;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;128
;Institución universitaria de envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;10mo Semestre o superior;25;Masculino;;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Básico;Avanzado;Intermedio;Intermedio;;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;;Importante;Neutral;Neutral;Neutral;Neutral;Importante;Importante;Neutral;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;588375124;84a9d238-9589-465c-a473-8da09e945c7c;2025-10-22T14:43:06;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;129
;Institución universitaria de Envigado;Colombia;Ciencias Económicas y Administrativas;Mercadeo;8vo Semestre;20;Femenino;;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Importante;Importante;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588386233;475d3898-25ef-4f42-828f-2b92d018bea3;2025-10-22T14:54:07;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;130
;Institución universitaria de envigado;Colombia;Otro;Mercadeo;8vo Semestre;19;Femenino;;Básico;Básico;Básico;Intermedio;Básico;Básico;Básico;Básico;Básico;;Totalmente de acuerdo;Neutral;Neutral;De acuerdo;De acuerdo;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588386342;e782eeb1-a208-4ca5-8c14-2fcc0ddd9e68;2025-10-22T14:54:11;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;131
;IUE;Colombia;Otro;Mercadeo;8vo Semestre;19;Femenino;;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588400104;5295f816-b6a8-4c3f-95be-d9fc79ec145c;2025-10-22T15:08:06;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;132
;IUE;Colombia;Ciencias Económicas y Administrativas;Mercadeo;8vo Semestre;21;Femenino;;Intermedio;Ninguno;Ninguno;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;;Neutral;Neutral;Totalmente en desacuerdo;En desacuerdo;Neutral;;Neutral;Neutral;Importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Muy importante;;Totalmente en desacuerdo;Neutral;Neutral;Neutral;De acuerdo;Neutral;Neutral;588400440;e5bc41ca-be9f-456d-80a9-4f5f78a50927;2025-10-22T15:08:30;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;133
;Institución Universitaria de Envigado;Colombia;Ciencias Económicas y Administrativas;Mercadeo;8vo Semestre;21;Femenino;;Intermedio;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;En desacuerdo;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Poca importancia;Importante;Poca importancia;Neutral;Poca importancia;Neutral;Neutral;;En desacuerdo;Neutral;En desacuerdo;Neutral;Neutral;Neutral;Neutral;588401342;e71bdbec-da73-411e-9e99-3ad4c8ed17da;2025-10-22T15:09:31;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;134
;Institución Universitaria De Envigado;Colombia;Ciencias Económicas y Administrativas;Mercadeo;8vo Semestre;21;Femenino;;Intermedio;Básico;Ninguno;Básico;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;;De acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;;Importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;588401791;93b67588-0836-4ddf-a0d4-885ca9b70677;2025-10-22T15:10:05;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;135
;Institución universitaria de envigado;Colombia;Ciencias Económicas y Administrativas;Mercadeo;8vo Semestre;22;Masculino;;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588401808;baa73b9b-ed59-4193-8d75-0300f8cfaf96;2025-10-22T15:10:07;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;136
;Institución Universitaria de Envigado;Colombia;Ciencias Económicas y Administrativas;Mercadeo;8vo Semestre;19;Masculino;;Intermedio;Básico;Ninguno;Básico;Básico;Intermedio;Básico;Intermedio;Intermedio;;Neutral;De acuerdo;De acuerdo;Neutral;Neutral;;Importante;Importante;Muy importante;Importante;Importante;Neutral;Poca importancia;Sin importancia;Importante;;Neutral;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Neutral;Totalmente en desacuerdo;588401869;72c633c3-e478-4b7a-b2ad-84e4e5b54055;2025-10-22T15:10:11;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;137
;Institución universitaria de Envigado;Colombia;Ciencias Económicas y Administrativas;Mercadeo;8vo Semestre;19;Femenino;;Básico;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Básico;;De acuerdo;Neutral;De acuerdo;En desacuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Muy importante;;En desacuerdo;Neutral;En desacuerdo;Neutral;De acuerdo;Totalmente de acuerdo;En desacuerdo;588401883;fe26e045-a394-4153-a784-d1849361c62c;2025-10-22T15:10:12;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;138
;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO;Colombia;Ciencias Económicas y Administrativas;Mercadeo;8vo Semestre;20;Femenino;;Avanzado;Intermedio;Básico;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;588403243;7778264f-6cea-47cb-a068-f8f26bbf797d;2025-10-22T15:12:06;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;139
;IUE;Colombia;Ciencias Económicas y Administrativas;Mercadeo;8vo Semestre;22;Masculino;;Experto;Experto;Experto;Experto;Experto;Experto;Experto;Experto;Experto;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588403930;5be63973-1c95-4698-8ca4-03163a45fe96;2025-10-22T15:12:52;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;140
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;21;Masculino;;Avanzado;Básico;Básico;Intermedio;Avanzado;Intermedio;Avanzado;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Poca importancia;Importante;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588407179;dc533f41-a5d9-487c-81fe-4ca417e8f40b;2025-10-22T15:17:26;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;141
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;27;Masculino;;Intermedio;Intermedio;Básico;Básico;Intermedio;Básico;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588407638;4c6fa557-de77-4c27-ab58-f8bf033e724e;2025-10-22T15:18:08;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;142
;Universidad de envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;20;Femenino;;Básico;Ninguno;Ninguno;Intermedio;Básico;Básico;Intermedio;Intermedio;Básico;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Neutral;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;De acuerdo;588408531;76d0b77d-ed71-4509-80f3-bc21e336a0d9;2025-10-22T15:19:10;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;143
;Institución universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;21;Femenino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Básico;Intermedio;;En desacuerdo;Neutral;En desacuerdo;En desacuerdo;En desacuerdo;;Poca importancia;Poca importancia;Neutral;Neutral;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;588409736;03b2b40f-f9b5-4676-a8ed-55a3eaca1d67;2025-10-22T15:20:24;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;144
;Institución universitaria de envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;21;Femenino;;Intermedio;Intermedio;Básico;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;Neutral;Neutral;En desacuerdo;Neutral;Neutral;;Importante;Importante;Importante;Importante;Neutral;Importante;Neutral;Neutral;Importante;;En desacuerdo;Neutral;En desacuerdo;Neutral;Neutral;Neutral;En desacuerdo;588409770;be6c81f7-328a-45c9-8184-d28ba0420ee8;2025-10-22T15:20:27;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;145
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;Femenino;;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Experto;Experto;Avanzado;;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;588409941;8b9d1cf3-453d-4bbc-9ad9-742aaf8e8bb7;2025-10-22T15:20:36;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;146
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ingeniería y Tecnología;Ingeniería en telemática;8vo Semestre;21;Femenino;;Básico;Básico;Básico;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;;Neutral;De acuerdo;Neutral;De acuerdo;De acuerdo;;Neutral;Neutral;Importante;Importante;Neutral;Importante;Importante;Neutral;Muy importante;;De acuerdo;Neutral;De acuerdo;De acuerdo;De acuerdo;Neutral;Neutral;588410129;3b799e75-eb2e-495d-b6e3-b5faec8f63c8;2025-10-22T15:20:48;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;147
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;21;Femenino;;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;Neutral;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Muy importante;;De acuerdo;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;588410213;59cbe922-d4e7-4f3a-8585-52f1e4577e87;2025-10-22T15:20:53;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;148
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;24;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Importante;Importante;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;588410746;fd5edeb0-1ada-46d0-9b81-c78665697345;2025-10-22T15:21:20;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;149
;IUE;Colombia;Otro;Derecho;8vo Semestre;21;Masculino;;Intermedio;Intermedio;Básico;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588410874;210e40c1-e3ff-411e-8739-c7a6cc5e66b1;2025-10-22T15:21:26;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;150
;Escuela superior politécnica de chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;Masculino;;Avanzado;Básico;Básico;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588411564;128766e2-c6d3-42dd-8b89-cfa391548d62;2025-10-22T15:22:03;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;151
;Universidad de Envígado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;20;Masculino;;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;Experto;Avanzado;Básico;Intermedio;;De acuerdo;Neutral;En desacuerdo;En desacuerdo;Neutral;;Importante;Neutral;Importante;Importante;Importante;Importante;Muy importante;Muy importante;Muy importante;;En desacuerdo;Neutral;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;588411632;9f077167-b920-43d4-acf6-b69f2e9146b6;2025-10-22T15:22:08;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;152
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;21;Femenino;;Avanzado;Básico;Ninguno;Avanzado;Intermedio;Avanzado;Avanzado;Intermedio;Intermedio;;Neutral;De acuerdo;En desacuerdo;Neutral;Totalmente de acuerdo;;Importante;Importante;Importante;Poca importancia;Neutral;Importante;Muy importante;Importante;Muy importante;;Neutral;Totalmente de acuerdo;Neutral;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;588412259;bbf85e40-e35e-4dbc-a82b-73a4840d0aff;2025-10-22T15:22:42;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;153
;Universidad de envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;24;Masculino;;Intermedio;Básico;Ninguno;Intermedio;Avanzado;Experto;Avanzado;Experto;Avanzado;;Neutral;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;De acuerdo;;Neutral;Poca importancia;Importante;Poca importancia;Importante;Muy importante;Neutral;Neutral;Muy importante;;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;588412382;0c583d41-b224-482c-96e1-1dd970972bf8;2025-10-22T15:22:49;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;154
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;Masculino;;Intermedio;Básico;Básico;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;De acuerdo;;Importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588412877;275f4165-5450-4c68-97c0-001212a35e37;2025-10-22T15:23:14;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;155
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;20;Masculino;;Avanzado;Intermedio;Avanzado;Avanzado;Experto;Experto;Experto;Avanzado;Experto;;Neutral;Neutral;Neutral;Totalmente de acuerdo;De acuerdo;;Muy importante;Importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;;En desacuerdo;Neutral;Neutral;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;En desacuerdo;588413047;33ea710a-32a1-499c-83eb-df2a65bdc312;2025-10-22T15:23:25;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;156
;Institución Universitaria de Envigado;Colombia;Otro;Derecho;8vo Semestre;22;Femenino;;Intermedio;Básico;Ninguno;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;;Neutral;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;;Neutral;Importante;Importante;Muy importante;Poca importancia;Importante;Muy importante;Neutral;Muy importante;;Neutral;Neutral;En desacuerdo;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588413079;cee38f40-d3a5-467a-ab6f-a47ab07af3ed;2025-10-22T15:23:28;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;157
;Institución Universitaria de Envigado;Colombia;Otro;DERECHO;8vo Semestre;21;Femenino;;Intermedio;Básico;Ninguno;Intermedio;Intermedio;Intermedio;Avanzado;Básico;Avanzado;;Neutral;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;;Neutral;Importante;Importante;Importante;Poca importancia;Importante;Muy importante;Poca importancia;Muy importante;;Neutral;Neutral;En desacuerdo;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;588413186;f1db44ff-4cce-422c-94cd-eb4cc73aa276;2025-10-22T15:23:34;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;158
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;21;Femenino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Avanzado;Avanzado;Intermedio;Intermedio;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Muy importante;Muy importante;Importante;Importante;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588413427;8579975b-5e40-4c76-b82e-bab7abf06b4a;2025-10-22T15:23:48;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;159
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;Masculino;;Intermedio;Intermedio;Intermedio;Básico;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588413926;79154f19-c6e9-4153-8497-1a6ae2537fd0;2025-10-22T15:24:19;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;160
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;Femenino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Importante;Muy importante;Muy importante;Importante;Neutral;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;588414121;eab55298-a2d1-42b7-b937-8ac5753db0aa;2025-10-22T15:24:30;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;161
